libmeegocontrolpanel-devel,pkgconfig(meegotouch-controlpanel)
libmeegotouch-devel,pkgconfig(meegotouch)
libmeegotouch-devel,pkgconfig(meegotouch-boostable)
libmeegotouch-devel,pkgconfig(meegotouchcore)
libmeegotouch-devel,pkgconfig(meegotouchsettings)
libmlocale-devel,pkgconfig(mlocale)
libmtp-devel,pkgconfig(libmtp)
libngf-devel,pkgconfig(libngf0)
libngf-qt-devel,pkgconfig(ngf-qt)
libnice-devel,pkgconfig(nice)
libnl-devel,pkgconfig(libnl-1)
libnotify-devel,pkgconfig(libnotify)
liboauth-devel,pkgconfig(oauth)
libofono-qt-devel,pkgconfig(ofono-qt)
libofx-devel,pkgconfig(libofx)
libogg-devel,pkgconfig(ogg)
liboil-devel,pkgconfig(liboil-0.3)
libopenraw-devel,pkgconfig(libopenraw-1.0)
libopenraw-gnome-devel,pkgconfig(libopenraw-gnome-1.0)
libopensync-devel,pkgconfig(opensync-1.0)
libpciaccess-devel,pkgconfig(pciaccess)
libphonon-devel,pkgconfig(phonon)
libpng-devel,pkgconfig(libpng)
libpng-devel,pkgconfig(libpng12)
libprolog-devel,pkgconfig(libprolog)
libpthread-stubs,pkgconfig(pthread-stubs)
libpublishwidgets-devel,pkgconfig(publish-widgets)
libpurple-devel,pkgconfig(purple)
libqofono-devel,pkgconfig(qofono)
libqt-devel,pkgconfig(QtCLucene)
libqt-devel,pkgconfig(QtCore)
libqt-devel,pkgconfig(QtDBus)
libqt-devel,pkgconfig(QtDeclarative)
libqt-devel,pkgconfig(QtDesigner)
libqt-devel,pkgconfig(QtDesignerComponents)
libqt-devel,pkgconfig(QtGui)
libqt-devel,pkgconfig(QtHelp)
libqt-devel,pkgconfig(QtNetwork)
libqt-devel,pkgconfig(QtScript)
libqt-devel,pkgconfig(QtScriptTools)
libqt-devel,pkgconfig(QtSql)
libqt-devel,pkgconfig(QtSvg)
libqt-devel,pkgconfig(QtTest)
libqt-devel,pkgconfig(QtUiTools)
libqt-devel,pkgconfig(QtXml)
libqt-devel,pkgconfig(QtXmlPatterns)
libqtopengl-devel,pkgconfig(QtMeeGoGraphicsSystemHelper)
libqtopengl-devel,pkgconfig(QtOpenGL)
libqtsparql-devel,pkgconfig(QtSparql)
libqtsparql-tracker-extensions-devel,pkgconfig(QtSparqlTrackerExtensions)
libqtsparql-tracker-extensions-devel,pkgconfig(QtSparqlTrackerLive)
libqttracker-devel,pkgconfig(qttracker)
libqtwebkit-devel,pkgconfig(QtWebKit)
libqtxdg-devel,pkgconfig(qtxdg)
libquill-devel,pkgconfig(quill)
libquillmetadata-devel,pkgconfig(quillmetadata)
libquvi-devel,pkgconfig(libquvi)
libquvi-scripts-devel,pkgconfig(libquvi-scripts)
librapi2-devel,pkgconfig(librapi2)
libresource-devel,pkgconfig(libresource)
libresource-devel,pkgconfig(libresource-glib)
libresource-devel,pkgconfig(libresource0)
libresource-devel,pkgconfig(libresource0-glib)
libresourceqt-devel,pkgconfig(libresourceqt1)
librsvg2-devel,pkgconfig(librsvg-2.0)
libsamplerate-devel,pkgconfig(samplerate)
libsexy-devel,pkgconfig(libsexy)
libshare-ui-devel,pkgconfig(share-ui-plugin)
libshare-ui-devel,pkgconfig(share-widgets)
